#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  60
#! SET periodic_phi true
   -3.141592654    0.000000000    0.496374756
   -3.036872898    0.441135778    7.583891153
   -2.932153143    1.509695558   12.419700393
   -2.827433388    2.990294105   15.683972384
   -2.722713633    4.768569225   18.064605632
   -2.617993878    6.731422320   19.066332089
   -2.513274123    8.707154678   18.349683798
   -2.408554368   10.518395626   16.030481466
   -2.303834613   12.028477996   12.642645964
   -2.199114858   13.116201729    8.010594343
   -2.094395102   13.671458094    2.427963976
   -1.989675347   13.592663462   -4.052181438
   -1.884955592   12.798241664  -11.226311563
   -1.780235837   11.257551485  -17.678618851
   -1.675516082    9.234699104  -20.182190106
   -1.570796327    7.172480448  -18.823812873
   -1.466076572    5.299825983  -17.034259908
   -1.361356817    3.611640169  -14.934815706
   -1.256637061    2.303015686   -9.131996846
   -1.151917306    1.855156035    1.145904118
   -1.047197551    2.547128187   11.539998587
   -0.942477796    4.124491006   17.801745854
   -0.837758041    6.144181413   20.459755942
   -0.733038286    8.392687146   22.697828355
   -0.628318531   10.914811855   25.452937966
   -0.523598776   13.676377521   26.822059441
   -0.418879020   16.422079327   25.063285715
   -0.314159265   18.829913045   20.459799330
   -0.209439510   20.624890407   13.606628863
   -0.104719755   21.640485998    5.734779728
    0.000000000   21.873867749   -0.978798260
    0.104719755   21.475982113   -6.461935552
    0.209439510   20.481165076  -12.913262873
    0.314159265   18.693690264  -21.360103409
    0.418879020   16.046611401  -28.484513790
    0.523598776   12.918270542  -30.379455198
    0.628318531    9.840857201  -27.869182728
    0.733038286    7.177495664  -22.769659685
    0.837758041    5.104458193  -16.796578043
    0.942477796    3.654629061  -10.966664077
    1.047197551    2.780268708   -5.770719145
    1.151917306    2.457478960   -0.298368291
    1.256637061    2.741834558    5.711978499
    1.361356817    3.634056025   11.156097356
    1.466076572    5.065640615   16.125445974
    1.570796327    7.008661473   20.810502622
    1.675516082    9.317261080   22.480551270
    1.780235837   11.513104590   18.604766940
    1.884955592   13.110419889   11.831376654
    1.989675347   14.027553282    5.994370608
    2.094395102   14.360639692    0.042232374
    2.199114858   13.924255075   -8.787154096
    2.303834613   12.536531356  -17.006363841
    2.408554368   10.569635214  -19.477566825
    2.513274123    8.605656971  -17.824999432
    2.617993878    6.802343782  -17.022134877
    2.722713633    4.987021114  -17.691133757
    2.827433388    3.130231981  -17.280787103
    2.932153143    1.477301194  -13.674936388
    3.036872898    0.359300963   -7.291904682
