#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  60
#! SET periodic_phi true
   -3.141592654    0.000000000    2.077945455
   -3.036872898    0.503241106    7.231346089
   -2.932153143    1.492248476   11.408587067
   -2.827433388    2.891983240   15.181655428
   -2.722713633    4.673733248   18.657127312
   -2.617993878    6.782162887   21.301269851
   -2.513274123    9.077926072   22.014235823
   -2.408554368   11.306410476   19.894119163
   -2.303834613   13.156481174   14.849184743
   -2.199114858   14.361908963    7.818351606
   -2.094395102   14.786901687    0.154424690
   -1.989675347   14.426267634   -7.039658107
   -1.884955592   13.360562117  -13.276488584
   -1.780235837   11.704137924  -18.220028411
   -1.675516082    9.624925183  -21.236563161
   -1.570796327    7.373510695  -21.314486166
   -1.466076572    5.294390568  -17.978541915
   -1.361356817    3.728712635  -11.639616224
   -1.256637061    2.919542514   -3.855065785
   -1.151917306    2.923832163    3.679151690
   -1.047197551    3.652880074    9.862034206
   -0.942477796    4.954429302   14.705743824
   -0.837758041    6.718922501   18.825878310
   -0.733038286    8.900581744   22.715311553
   -0.628318531   11.472749854   26.127723344
   -0.523598776   14.332136781   28.028128168
   -0.418879020   17.259760682   27.272685815
   -0.314159265   19.944039300   23.339212895
   -0.209439510   22.067781102   16.656787253
   -0.104719755   23.385110539    8.111279388
    0.000000000   23.754483967   -1.237783457
    0.104719755   23.145181363  -10.397985118
    0.209439510   21.637297192  -18.196890524
    0.314159265   19.424470171  -23.724488039
    0.418879020   16.770552402  -26.692266041
    0.523598776   13.924104411  -27.455295455
    0.628318531   11.090161151  -26.526334248
    0.733038286    8.438182394  -23.978673406
    0.837758041    6.141944324  -19.660912888
    0.942477796    4.379079417  -13.894813526
    1.047197551    3.267453039   -7.389353439
    1.151917306    2.847828477   -0.739886143
    1.256637061    3.124687528    5.958594024
    1.361356817    4.106210781   12.682041993
    1.466076572    5.763116350   18.642890541
    1.570796327    7.933461502   22.126410158
    1.675516082   10.269822919   21.602257609
    1.780235837   12.326869821   17.034322709
    1.884955592   13.758495097    9.988379492
    1.989675347   14.430044469    2.911345464
    2.094395102   14.431278933   -2.822159144
    2.199114858   13.904130500   -7.253020484
    2.303834613   12.928551640  -11.560679231
    2.408554368   11.474123843  -16.374922363
    2.513274123    9.516916961  -20.989980259
    2.617993878    7.162594600  -23.618427185
    2.722713633    4.705524273  -22.837296779
    2.827433388    2.521548790  -18.437156522
    2.932153143    0.938552240  -11.694473519
    3.036872898    0.104623974   -4.382634733
