epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_N_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_N_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_N_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_N_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
       102, 16961.917,    0.002,       0.00094446,       1.7629e-05,       0.00096209,          0.5,        0.798,        0.286,        0.737,         0.87,        0.703,        0.649,        0.405,         1.06,         1.22,         1.07,        0.939,         1.69,       0.0768,       0.00044991,       4.8178e-07,       0.00045039,        0.345,        0.551,        0.209,        0.515,         0.58,        0.413,         0.43,          0.3,        0.759,        0.851,        0.587,        0.624,        0.294,       0.0133
       103, 17128.014,    0.002,        0.0009555,        1.628e-05,       0.00097178,         0.48,        0.803,        0.276,        0.713,        0.819,        0.659,        0.617,        0.416,         1.08,         1.17,         1.08,        0.938,         1.68,       0.0762,       0.00045443,       4.3422e-07,       0.00045486,        0.347,        0.554,        0.208,        0.519,        0.587,        0.422,        0.434,        0.297,        0.764,        0.853,          0.6,        0.629,        0.261,       0.0119
       104, 17293.063,    0.002,       0.00089838,       1.5026e-05,       0.00091341,        0.501,        0.778,        0.285,        0.741,        0.874,        0.705,        0.651,        0.388,         1.05,         1.19,         1.02,        0.912,          1.7,       0.0772,       0.00045441,       6.1348e-07,       0.00045502,        0.351,        0.553,         0.21,        0.524,         0.59,        0.434,         0.44,        0.299,        0.767,        0.825,        0.623,        0.628,         0.29,       0.0132
       105, 17464.801,    0.002,        0.0011148,       2.0838e-05,        0.0011357,         0.53,        0.867,          0.3,        0.783,        0.928,        0.756,        0.692,        0.429,         1.16,         1.31,          1.2,         1.02,         1.84,       0.0838,       0.00059489,       1.2955e-06,       0.00059619,        0.393,        0.633,        0.225,        0.585,        0.676,        0.536,        0.506,        0.323,        0.863,        0.983,        0.762,        0.733,        0.549,       0.0249
       106, 17630.466,    0.002,       0.00074234,       1.5341e-05,       0.00075769,        0.451,        0.707,        0.267,        0.652,        0.753,        0.646,         0.58,        0.394,        0.922,         1.04,        0.966,        0.832,         1.56,       0.0709,       0.00045972,       4.9437e-07,       0.00046021,        0.338,        0.557,        0.202,        0.503,        0.583,        0.417,        0.426,        0.291,         0.75,        0.916,         0.61,        0.642,        0.313,       0.0142
       107, 17799.835,    0.002,       0.00089572,         1.63e-05,       0.00091202,        0.498,        0.777,        0.286,        0.733,        0.854,        0.715,        0.647,        0.434,         1.03,         1.17,        0.999,        0.906,         1.77,       0.0804,       0.00045917,       4.6836e-07,       0.00045964,        0.346,        0.556,        0.208,        0.518,        0.571,         0.43,        0.432,        0.309,        0.772,        0.815,        0.617,        0.628,        0.266,       0.0121
       108, 17964.963,    0.002,        0.0010029,       1.6365e-05,        0.0010193,        0.523,        0.822,        0.292,        0.783,        0.925,        0.732,        0.683,        0.401,         1.11,         1.29,         1.05,        0.963,         1.72,       0.0783,       0.00053879,        7.552e-07,       0.00053954,        0.367,        0.603,        0.219,        0.555,         0.61,        0.449,        0.458,         0.32,        0.845,        0.896,        0.662,         0.68,        0.343,       0.0156
       109, 18127.235,    0.002,       0.00093729,       1.8002e-05,        0.0009553,        0.484,        0.795,        0.286,        0.706,        0.834,        0.658,        0.621,        0.448,         1.05,         1.21,        0.987,        0.923,         1.68,       0.0765,       0.00060665,       4.1363e-06,       0.00061078,        0.405,         0.64,        0.237,        0.604,        0.694,        0.524,        0.515,        0.344,        0.876,        0.979,        0.728,        0.732,         1.07,       0.0485
       110, 18292.348,    0.002,       0.00078423,       2.0472e-05,        0.0008047,        0.461,        0.727,         0.27,        0.677,        0.772,        0.647,        0.591,        0.392,        0.971,         1.08,        0.953,        0.848,         1.68,       0.0763,       0.00047204,       6.7725e-07,       0.00047272,        0.354,        0.564,        0.211,         0.53,        0.594,         0.45,        0.446,        0.302,        0.779,         0.84,        0.652,        0.643,        0.375,       0.0171
       111, 18456.201,    0.002,        0.0009016,        1.516e-05,       0.00091676,        0.494,         0.78,        0.282,         0.73,        0.862,         0.69,        0.641,        0.428,         1.03,         1.18,        0.998,         0.91,         1.69,       0.0767,       0.00052768,       8.8018e-07,       0.00052856,        0.378,        0.596,        0.229,        0.567,        0.631,        0.447,        0.469,        0.328,        0.828,        0.897,        0.637,        0.673,        0.421,       0.0191
       112, 18617.260,    0.002,       0.00077733,        1.543e-05,       0.00079276,        0.466,        0.724,        0.271,        0.681,        0.804,        0.657,        0.603,        0.379,        0.962,          1.1,        0.961,         0.85,         1.67,       0.0761,        0.0005082,        4.975e-07,       0.00050869,        0.355,        0.585,        0.213,        0.531,        0.598,        0.432,        0.444,        0.312,        0.813,        0.891,        0.638,        0.664,        0.267,       0.0122
       113, 18780.103,    0.002,        0.0011067,       2.3096e-05,        0.0011298,        0.473,        0.864,         0.28,        0.681,        0.798,        0.676,        0.609,        0.553,          1.1,         1.21,         1.13,        0.998,         1.78,       0.0811,       0.00044327,       3.1791e-07,       0.00044358,        0.341,        0.547,        0.204,        0.506,        0.584,        0.425,         0.43,        0.293,        0.747,        0.854,        0.607,        0.625,        0.219,      0.00994
       114, 18943.429,    0.002,       0.00091653,       2.1368e-05,        0.0009379,        0.458,        0.786,        0.264,        0.668,        0.781,        0.663,        0.594,        0.385,         1.02,         1.18,         1.17,         0.94,         1.58,       0.0718,       0.00043315,       2.4958e-07,        0.0004334,        0.334,         0.54,        0.199,        0.499,        0.569,        0.411,        0.419,        0.286,        0.736,        0.856,        0.605,        0.621,        0.218,      0.00989
       115, 19103.212,    0.002,       0.00092285,        1.979e-05,       0.00094264,        0.481,        0.789,        0.287,        0.706,        0.804,        0.652,        0.612,        0.475,         1.04,         1.16,         0.96,        0.907,         1.76,       0.0799,       0.00043361,       4.6462e-07,       0.00043408,        0.343,        0.541,        0.209,         0.51,        0.558,        0.431,        0.427,        0.309,        0.738,        0.788,        0.622,        0.614,        0.266,       0.0121
       116, 19263.131,    0.002,       0.00082022,       1.8339e-05,       0.00083856,        0.467,        0.744,         0.27,        0.684,        0.803,        0.664,        0.605,        0.446,        0.962,          1.1,        0.951,        0.864,         1.81,       0.0822,       0.00049366,       8.1699e-07,       0.00049448,        0.363,        0.577,         0.22,        0.545,        0.595,        0.445,        0.451,        0.318,        0.805,        0.838,        0.637,         0.65,        0.431,       0.0196
       117, 19426.076,    0.002,       0.00065834,       1.2683e-05,       0.00067102,        0.437,        0.666,        0.254,        0.639,        0.753,        0.612,        0.565,        0.346,        0.893,         1.02,        0.855,        0.779,         1.53,       0.0693,       0.00045325,       4.8106e-07,       0.00045373,        0.343,        0.553,          0.2,         0.52,        0.585,        0.435,        0.435,        0.289,        0.764,        0.854,        0.618,        0.631,        0.275,       0.0125
       118, 19591.304,    0.002,       0.00083348,       1.8579e-05,       0.00085206,        0.482,         0.75,         0.28,        0.713,        0.837,        0.645,        0.619,        0.394,         1.01,         1.15,        0.942,        0.874,         1.81,       0.0823,       0.00049274,       5.0473e-07,       0.00049324,        0.355,        0.576,        0.207,        0.537,        0.603,        0.448,        0.449,        0.298,        0.804,        0.861,        0.664,        0.657,        0.292,       0.0133
       119, 19751.728,    0.002,       0.00091319,       1.7282e-05,       0.00093048,        0.487,        0.785,        0.282,        0.716,        0.832,        0.693,        0.631,        0.406,         1.04,         1.18,         1.07,        0.923,         1.64,       0.0746,       0.00047956,       4.5661e-07,       0.00048002,        0.349,        0.569,        0.206,        0.524,        0.595,        0.437,         0.44,        0.293,        0.783,        0.867,        0.671,        0.654,        0.293,       0.0133
       120, 19911.803,    0.002,       0.00073969,       1.3566e-05,       0.00075325,        0.436,        0.706,        0.247,        0.642,         0.77,        0.611,        0.568,        0.385,        0.931,         1.08,        0.909,        0.826,          1.5,       0.0682,       0.00047256,       3.7146e-07,       0.00047294,        0.357,        0.564,        0.207,        0.549,          0.6,        0.435,        0.448,        0.295,        0.794,        0.834,        0.627,        0.638,        0.244,       0.0111
       121, 20075.452,    0.002,       0.00078474,       1.6617e-05,       0.00080136,        0.469,        0.727,        0.268,        0.694,        0.821,         0.65,        0.608,        0.368,        0.973,         1.13,        0.943,        0.854,         1.68,       0.0764,        0.0005222,       5.2761e-07,       0.00052273,        0.361,        0.593,         0.21,        0.539,        0.633,        0.462,        0.461,        0.302,        0.812,        0.936,        0.688,        0.684,        0.318,       0.0144
       122, 20239.533,    0.002,        0.0007536,       1.3555e-05,       0.00076716,        0.461,        0.713,        0.266,        0.675,        0.801,        0.643,        0.596,        0.363,         0.95,         1.11,        0.922,        0.837,         1.56,       0.0709,       0.00051751,       2.1659e-06,       0.00051967,        0.369,        0.591,         0.22,        0.552,        0.627,        0.455,        0.464,        0.316,        0.809,         0.93,        0.642,        0.674,        0.728,       0.0331
       123, 20400.169,    0.002,       0.00072824,       1.1311e-05,       0.00073955,        0.446,        0.701,        0.255,        0.654,        0.781,        0.626,        0.579,        0.393,        0.913,         1.07,        0.908,        0.822,         1.36,       0.0617,       0.00038843,       2.2882e-07,       0.00038866,        0.321,        0.512,        0.194,        0.479,        0.537,        0.389,          0.4,        0.283,        0.706,         0.77,        0.557,        0.579,        0.204,      0.00926
       124, 20564.008,    0.002,       0.00081973,       1.2962e-05,        0.0008327,        0.462,        0.743,        0.266,         0.68,        0.808,        0.639,        0.598,        0.385,        0.983,         1.16,        0.966,        0.875,         1.49,       0.0679,       0.00050898,       5.7691e-07,       0.00050956,        0.353,        0.586,        0.208,        0.521,        0.619,        0.451,         0.45,        0.299,        0.776,        0.982,        0.685,        0.685,        0.328,       0.0149
       125, 20728.140,    0.002,       0.00075203,       1.0703e-05,       0.00076273,        0.447,        0.712,        0.257,        0.654,        0.778,        0.628,        0.579,        0.391,        0.928,         1.11,        0.918,        0.837,         1.41,       0.0639,       0.00040048,       4.4135e-07,       0.00040092,        0.323,         0.52,        0.193,        0.483,        0.548,        0.402,        0.406,         0.28,        0.719,         0.78,        0.586,        0.591,        0.262,       0.0119
       126, 20892.027,    0.002,       0.00091197,       1.5789e-05,       0.00092776,        0.468,        0.784,        0.263,        0.694,         0.82,        0.669,        0.611,        0.364,         1.05,         1.22,         1.09,        0.931,         1.54,         0.07,       0.00045706,       5.6082e-07,       0.00045762,        0.339,        0.555,        0.199,        0.512,        0.575,        0.426,        0.428,        0.288,        0.769,        0.849,         0.63,        0.634,        0.312,       0.0142
       127, 21055.422,    0.002,         0.001084,       2.1855e-05,        0.0011059,          0.5,        0.855,        0.273,        0.743,        0.865,        0.762,        0.661,        0.382,         1.14,         1.26,         1.28,         1.02,         1.71,       0.0779,       0.00044477,       4.9548e-07,       0.00044527,         0.34,        0.548,        0.201,        0.508,        0.584,        0.422,        0.429,        0.289,        0.759,         0.84,        0.602,        0.623,        0.306,       0.0139
       128, 21219.256,    0.002,       0.00085016,       1.2211e-05,       0.00086237,        0.454,        0.757,        0.266,        0.666,        0.782,        0.621,        0.584,        0.397,            1,         1.19,         0.96,        0.887,         1.42,       0.0646,       0.00054401,       8.2758e-07,       0.00054483,        0.372,        0.606,        0.213,        0.558,        0.662,        0.482,        0.478,        0.303,         0.83,        0.962,        0.701,        0.699,        0.406,       0.0184
       129, 21382.586,    0.002,         0.000868,       1.6915e-05,       0.00088492,        0.458,        0.765,        0.259,        0.678,        0.807,        0.651,        0.599,        0.399,         1.01,         1.16,         1.04,        0.901,         1.66,       0.0756,       0.00053205,       4.9268e-07,       0.00053254,        0.378,        0.599,        0.215,        0.569,        0.655,        0.502,        0.485,         0.31,        0.823,        0.927,        0.688,        0.687,        0.316,       0.0144
       130, 21546.063,    0.002,       0.00061392,       1.0417e-05,       0.00062434,        0.412,        0.643,        0.238,        0.608,        0.706,        0.573,        0.531,        0.324,        0.871,        0.991,        0.815,         0.75,         1.37,       0.0621,       0.00040396,        4.203e-07,       0.00040438,        0.324,        0.522,        0.193,        0.482,        0.559,        0.397,        0.408,         0.28,        0.715,        0.816,        0.572,        0.596,        0.262,       0.0119
       131, 21708.382,    0.002,       0.00068055,       1.1475e-05,       0.00069202,        0.436,        0.677,        0.252,        0.638,        0.759,         0.61,        0.565,        0.351,        0.901,         1.04,         0.89,        0.796,         1.48,       0.0674,       0.00050205,       4.8675e-06,       0.00050692,        0.359,        0.582,        0.211,         0.54,        0.622,        0.435,        0.452,        0.308,        0.806,        0.902,        0.625,         0.66,         1.21,       0.0549
       132, 21869.338,    0.002,       0.00082492,       1.5658e-05,       0.00084058,        0.464,        0.746,        0.268,        0.682,        0.794,        0.658,          0.6,        0.394,        0.991,          1.1,         1.01,        0.875,         1.62,       0.0735,       0.00043074,       3.6507e-07,        0.0004311,        0.327,        0.539,        0.194,        0.489,        0.554,        0.411,        0.412,        0.286,        0.738,        0.797,         0.66,         0.62,        0.247,       0.0112
       133, 22032.753,    0.002,       0.00064526,       1.1732e-05,       0.00065699,        0.417,         0.66,        0.243,        0.611,        0.726,        0.576,        0.539,        0.381,        0.853,         1.01,        0.844,        0.772,         1.38,       0.0628,       0.00042899,       3.5953e-07,       0.00042935,        0.326,        0.538,        0.191,        0.489,        0.564,        0.412,        0.414,        0.277,        0.747,        0.811,        0.622,        0.614,         0.25,       0.0113
       134, 22196.387,    0.002,       0.00079122,       1.5029e-05,       0.00080625,        0.461,         0.73,        0.261,        0.679,         0.81,        0.659,        0.602,        0.357,        0.963,         1.15,        0.994,        0.867,         1.69,       0.0767,       0.00043508,       4.1068e-07,       0.00043549,        0.336,        0.542,        0.195,        0.508,        0.573,        0.428,        0.426,        0.281,        0.754,        0.808,        0.627,        0.618,         0.27,       0.0123
       135, 22356.444,    0.002,       0.00067024,       1.1629e-05,       0.00068187,        0.433,        0.672,         0.25,        0.635,        0.751,        0.599,        0.559,        0.356,        0.896,         1.04,        0.845,        0.785,         1.39,       0.0633,       0.00044656,       7.6011e-07,       0.00044732,        0.335,        0.549,        0.198,        0.507,        0.568,        0.415,        0.422,        0.289,         0.77,        0.827,        0.589,        0.619,        0.408,       0.0186
       136, 22511.704,    0.002,       0.00062855,       1.3225e-05,       0.00064177,        0.427,        0.651,        0.249,        0.625,        0.741,        0.593,        0.552,        0.349,        0.866,            1,        0.821,         0.76,         1.56,       0.0707,       0.00044616,       4.0444e-07,       0.00044656,        0.328,        0.548,        0.192,        0.494,        0.565,        0.412,        0.416,        0.281,        0.759,        0.855,        0.614,        0.627,        0.252,       0.0115
       137, 22667.748,    0.002,       0.00071368,       1.0774e-05,       0.00072445,         0.45,        0.694,        0.253,        0.667,        0.781,        0.649,        0.587,        0.366,        0.927,         1.05,          0.9,        0.811,          1.4,       0.0638,        0.0004695,       2.2598e-06,       0.00047176,        0.357,        0.563,        0.218,        0.522,        0.616,        0.441,        0.449,        0.306,        0.766,         0.86,         0.65,        0.645,        0.806,       0.0366
       138, 22823.383,    0.002,        0.0007336,       1.4698e-05,        0.0007483,         0.45,        0.703,        0.262,        0.653,        0.786,        0.641,        0.585,        0.395,        0.912,         1.09,        0.908,        0.826,         1.61,       0.0732,       0.00042825,       4.4929e-07,        0.0004287,        0.328,        0.537,        0.193,        0.492,         0.57,          0.4,        0.414,        0.279,        0.736,        0.868,        0.574,        0.614,        0.269,       0.0122
       139, 22972.880,    0.002,       0.00077335,       1.3931e-05,       0.00078728,        0.441,        0.722,        0.252,         0.64,        0.783,        0.637,        0.578,        0.403,        0.922,         1.11,        0.988,        0.856,         1.53,       0.0696,       0.00045214,       3.3132e-07,       0.00045247,         0.34,        0.552,        0.201,        0.512,        0.579,        0.416,        0.427,        0.288,        0.768,        0.841,        0.616,        0.628,        0.246,       0.0112
       140, 23129.006,    0.002,        0.0007184,       1.1964e-05,       0.00073037,        0.427,        0.696,        0.243,         0.63,        0.745,        0.602,        0.555,        0.334,        0.937,         1.07,        0.937,         0.82,         1.47,        0.067,       0.00043541,       4.8251e-07,        0.0004359,        0.335,        0.542,        0.195,        0.505,        0.581,        0.423,        0.426,        0.282,        0.751,         0.82,        0.621,        0.619,        0.281,       0.0128
       141, 23285.043,    0.002,       0.00062619,       1.0579e-05,       0.00063677,        0.426,         0.65,        0.239,        0.632,        0.759,        0.597,        0.557,        0.322,        0.869,         1.04,        0.824,        0.763,         1.43,       0.0652,       0.00043823,       4.8856e-07,       0.00043872,        0.328,        0.544,        0.192,         0.49,        0.573,        0.411,        0.417,         0.28,        0.753,        0.837,        0.616,        0.621,          0.3,       0.0136
       142, 23442.078,    0.002,       0.00079812,       1.2752e-05,       0.00081087,        0.446,        0.734,        0.254,        0.651,        0.788,        0.644,        0.584,        0.359,        0.975,         1.13,            1,        0.868,         1.41,       0.0643,       0.00040922,       3.8055e-07,        0.0004096,        0.319,        0.525,        0.188,         0.48,        0.543,        0.395,        0.402,        0.272,        0.734,        0.799,         0.58,        0.596,        0.219,      0.00995
       143, 23599.624,    0.002,       0.00061157,       1.2108e-05,       0.00062368,        0.406,        0.642,        0.231,          0.6,        0.695,         0.58,        0.527,        0.324,        0.869,        0.962,        0.848,         0.75,         1.37,       0.0624,       0.00038644,       2.7124e-07,       0.00038671,        0.312,         0.51,        0.186,        0.469,        0.538,        0.378,        0.392,         0.27,        0.702,        0.797,        0.559,        0.582,        0.225,       0.0102
       144, 23752.208,    0.002,        0.0007498,        1.667e-05,       0.00076647,        0.442,        0.711,         0.25,        0.657,        0.767,        0.624,        0.575,        0.346,        0.954,         1.08,        0.977,        0.838,         1.58,        0.072,         0.000376,       3.8688e-07,       0.00037639,        0.315,        0.503,        0.186,        0.472,        0.537,        0.392,        0.397,         0.27,        0.698,        0.761,         0.56,        0.572,        0.247,       0.0112
       145, 23905.528,    0.002,        0.0006581,       1.4287e-05,       0.00067239,        0.414,        0.666,        0.233,        0.612,        0.717,        0.602,        0.541,        0.338,        0.884,            1,        0.918,        0.786,         1.52,        0.069,       0.00042001,       4.6435e-07,       0.00042047,        0.328,        0.532,        0.192,        0.489,        0.571,         0.42,        0.418,        0.279,        0.729,        0.827,        0.609,        0.611,        0.274,       0.0124
       146, 24060.763,    0.002,       0.00072471,       1.1909e-05,       0.00073662,         0.44,        0.699,        0.249,         0.65,        0.791,        0.611,        0.575,        0.339,        0.928,         1.13,        0.912,        0.826,         1.43,        0.065,       0.00039847,       3.7493e-07,       0.00039884,        0.317,        0.518,        0.187,         0.48,        0.543,        0.383,        0.398,        0.271,        0.717,        0.822,        0.544,        0.589,        0.252,       0.0114
       147, 24215.812,    0.002,        0.0006443,       9.9623e-06,       0.00065426,        0.414,        0.659,        0.238,        0.607,        0.715,        0.589,        0.537,        0.334,        0.876,         1.03,        0.868,        0.776,          1.3,       0.0592,       0.00042324,       4.3532e-07,       0.00042368,        0.326,        0.534,        0.193,        0.484,        0.563,        0.414,        0.414,        0.284,        0.732,        0.809,        0.628,        0.613,        0.301,       0.0137
       148, 24372.165,    0.002,       0.00087982,       1.7382e-05,       0.00089721,        0.482,         0.77,        0.274,        0.707,        0.849,        0.687,        0.629,        0.395,         1.02,         1.18,         1.02,        0.905,         1.66,       0.0753,       0.00047526,       5.5102e-07,       0.00047581,        0.345,        0.566,        0.196,        0.522,        0.599,        0.455,        0.443,        0.285,        0.784,        0.859,        0.675,        0.651,        0.332,       0.0151
       149, 24528.088,    0.002,       0.00057551,       8.0458e-06,       0.00058356,        0.391,        0.623,        0.232,         0.57,        0.658,         0.54,          0.5,        0.367,        0.817,         0.92,        0.783,        0.722,         1.21,       0.0552,       0.00038005,       5.0234e-07,       0.00038055,        0.309,        0.506,        0.184,        0.461,        0.533,        0.387,        0.391,        0.266,        0.691,        0.787,        0.583,        0.582,        0.307,       0.0139
       150, 24683.062,    0.002,       0.00081521,       1.4989e-05,       0.00083019,         0.44,        0.741,        0.242,        0.652,        0.795,        0.635,        0.581,        0.335,        0.994,         1.16,         1.03,         0.88,         1.55,       0.0705,       0.00040684,        3.734e-07,       0.00040722,        0.316,        0.524,        0.185,        0.472,        0.553,        0.393,        0.401,         0.27,        0.728,         0.82,        0.565,        0.596,        0.245,       0.0111
       151, 24838.540,    0.002,         0.000888,       1.5494e-05,       0.00090349,        0.456,        0.774,        0.255,        0.674,        0.811,         0.65,        0.598,        0.358,         1.03,         1.21,         1.07,        0.919,          1.5,       0.0681,       0.00057811,       9.9094e-07,       0.00057911,        0.382,        0.624,        0.214,        0.575,        0.666,        0.536,        0.497,        0.305,        0.861,        0.928,        0.804,        0.724,         0.38,       0.0173
       152, 24988.232,    0.002,       0.00054133,        9.235e-06,       0.00055057,        0.378,        0.604,        0.222,        0.551,        0.664,        0.511,        0.487,        0.313,        0.798,        0.967,        0.763,         0.71,         1.17,       0.0533,       0.00042739,        4.504e-07,       0.00042784,        0.324,        0.537,        0.189,         0.49,        0.565,        0.398,        0.411,        0.276,        0.739,        0.866,         0.57,        0.613,         0.28,       0.0127
       153, 25145.170,    0.002,       0.00070085,       9.2522e-06,        0.0007101,        0.414,        0.687,        0.233,        0.611,        0.726,        0.595,        0.541,        0.323,        0.912,         1.06,        0.982,        0.818,         1.23,       0.0558,       0.00043644,       3.2824e-07,       0.00043677,        0.335,        0.542,        0.194,        0.501,        0.585,        0.429,        0.427,        0.279,        0.744,        0.855,        0.614,        0.623,        0.248,       0.0113
       154, 25300.415,    0.002,         0.000674,       1.2244e-05,       0.00068625,        0.428,        0.674,        0.247,        0.628,        0.757,        0.586,        0.555,        0.355,        0.893,         1.07,         0.84,        0.789,         1.52,       0.0691,       0.00042307,       3.5048e-07,       0.00042342,        0.332,        0.534,        0.196,        0.499,        0.567,        0.411,        0.418,        0.281,        0.735,        0.828,        0.597,         0.61,        0.254,       0.0115
       155, 25456.553,    0.002,       0.00055243,       8.9607e-06,       0.00056139,        0.398,         0.61,        0.236,        0.582,        0.672,         0.54,        0.507,        0.349,        0.812,        0.916,        0.743,        0.705,         1.28,       0.0584,       0.00038941,       3.6674e-07,       0.00038978,        0.314,        0.512,        0.186,        0.471,        0.541,        0.386,        0.396,        0.269,         0.71,        0.792,         0.56,        0.583,        0.274,       0.0124
       156, 25617.673,    0.002,       0.00071032,       1.5004e-05,       0.00072533,        0.416,        0.692,        0.242,        0.608,        0.699,        0.606,        0.539,        0.389,        0.901,         0.98,        0.981,        0.813,         1.49,       0.0678,       0.00037585,       3.2967e-07,       0.00037618,         0.31,        0.503,        0.184,        0.465,        0.528,        0.374,        0.388,        0.269,          0.7,        0.772,        0.535,        0.569,        0.227,       0.0103
       157, 25778.154,    0.002,       0.00062254,       1.1937e-05,       0.00063447,        0.409,        0.648,        0.235,        0.605,        0.713,        0.564,        0.529,        0.334,         0.87,        0.982,        0.844,        0.758,         1.47,        0.067,       0.00040939,       3.6165e-07,       0.00040975,        0.318,        0.525,        0.188,        0.475,        0.553,        0.394,        0.402,        0.273,        0.715,        0.854,         0.57,        0.603,        0.245,       0.0111
       158, 25934.296,    0.002,       0.00058964,       1.0081e-05,       0.00059972,        0.407,         0.63,        0.232,        0.599,         0.73,         0.56,         0.53,        0.326,        0.837,         1.01,        0.789,        0.739,          1.4,       0.0637,       0.00041741,        2.772e-07,       0.00041769,        0.324,         0.53,        0.186,        0.492,         0.57,        0.403,        0.413,        0.271,        0.738,         0.84,        0.563,        0.603,        0.229,       0.0104
       159, 26090.437,    0.002,       0.00063768,       9.8222e-06,        0.0006475,        0.413,        0.656,        0.235,        0.608,        0.707,        0.602,        0.538,        0.332,        0.866,        0.993,        0.912,        0.776,          1.3,       0.0591,       0.00041928,       3.4832e-07,       0.00041962,        0.323,        0.532,        0.187,        0.486,        0.564,        0.406,        0.411,         0.27,        0.738,        0.828,        0.592,        0.607,        0.237,       0.0108
       160, 26238.618,    0.002,        0.0005721,       9.2721e-06,       0.00058138,        0.397,        0.621,        0.228,        0.582,        0.697,        0.563,        0.517,        0.328,         0.82,         0.97,        0.797,        0.729,         1.27,       0.0579,       0.00047287,       1.0126e-06,       0.00047388,        0.336,        0.565,        0.192,        0.503,          0.6,        0.431,        0.432,        0.275,        0.793,        0.865,        0.645,        0.645,        0.456,       0.0207
       161, 26389.113,    0.002,        0.0006997,       1.5457e-05,       0.00071516,        0.411,        0.687,        0.236,        0.605,        0.716,        0.568,        0.531,        0.347,        0.921,          1.1,        0.842,        0.803,         1.47,       0.0666,        0.0003729,       2.8437e-07,       0.00037319,        0.308,        0.501,        0.182,        0.463,        0.529,        0.384,        0.389,        0.263,        0.697,        0.767,        0.554,         0.57,        0.209,       0.0095
       162, 26543.421,    0.002,        0.0006909,        1.149e-05,        0.0007024,        0.426,        0.682,        0.243,        0.626,        0.739,        0.613,        0.555,        0.352,        0.903,         1.04,        0.926,        0.805,         1.41,       0.0643,       0.00041799,       5.4129e-07,       0.00041853,        0.323,        0.531,         0.19,        0.486,        0.548,        0.407,        0.408,        0.276,        0.734,        0.811,        0.607,        0.607,        0.337,       0.0153
       163, 26699.349,    0.002,       0.00068674,       1.0598e-05,       0.00069734,        0.411,         0.68,        0.236,        0.604,        0.703,        0.587,        0.533,        0.364,        0.898,        0.989,        0.948,          0.8,         1.35,       0.0616,       0.00046893,       9.9725e-07,       0.00046992,        0.339,        0.562,        0.185,        0.513,        0.572,        0.505,        0.444,        0.269,        0.775,         0.84,        0.732,        0.654,        0.496,       0.0226
       164, 26853.093,    0.002,       0.00080752,       1.7607e-05,       0.00082513,        0.425,        0.738,        0.243,        0.625,        0.748,        0.591,        0.552,        0.405,        0.959,         1.14,        0.969,        0.869,         1.51,       0.0688,       0.00038955,       2.6184e-07,       0.00038981,        0.312,        0.512,        0.183,         0.47,        0.549,        0.377,        0.395,        0.266,        0.708,        0.822,        0.534,        0.583,        0.198,        0.009
       165, 27006.818,    0.002,       0.00050317,       8.2539e-06,       0.00051142,        0.376,        0.582,        0.215,        0.552,        0.655,        0.537,         0.49,        0.291,        0.775,        0.892,        0.789,        0.687,         1.23,       0.0558,        0.0003925,       2.6883e-07,       0.00039277,        0.311,        0.514,         0.18,        0.472,        0.533,        0.395,        0.395,        0.262,        0.716,        0.779,        0.595,        0.588,        0.202,      0.00917
       166, 27162.748,    0.002,       0.00068391,       1.3061e-05,       0.00069697,        0.421,        0.679,        0.234,        0.622,        0.753,        0.603,        0.553,        0.322,        0.905,         1.09,          0.9,        0.804,         1.45,       0.0659,       0.00045539,       3.9036e-07,       0.00045578,        0.334,        0.554,        0.192,        0.507,        0.582,        0.419,        0.425,        0.281,        0.766,        0.889,        0.594,        0.632,        0.279,       0.0127
       167, 27319.457,    0.002,       0.00061843,       1.0493e-05,       0.00062893,        0.391,        0.646,        0.224,        0.574,        0.688,        0.548,        0.509,        0.314,        0.867,        0.999,        0.862,        0.761,         1.31,       0.0596,       0.00037926,       2.3949e-07,        0.0003795,        0.309,        0.506,        0.184,        0.464,         0.53,        0.376,        0.388,        0.269,        0.701,        0.776,        0.549,        0.574,         0.21,      0.00955
       168, 27475.976,    0.002,       0.00065366,       1.1265e-05,       0.00066493,        0.418,        0.664,        0.242,        0.613,        0.715,        0.591,         0.54,        0.353,        0.885,        0.995,        0.872,        0.776,         1.39,        0.063,       0.00050261,       7.1629e-07,       0.00050332,        0.344,        0.582,        0.194,        0.533,        0.582,         0.44,        0.437,        0.279,        0.829,        0.897,        0.625,        0.658,        0.352,        0.016
